index,title,description,problem,solution,deadline,number,imgUrl
1,Web Development,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Morbi eu sapien mi. Duis a risus lacus.","Suspendisse id molestie sapien. Mauris quis dictum magna. Fusce vitae elit turpis. Etiam posuere turpis in quam tempor, elementum dapibus dui lacinia. Nam tempor mauris nec odio hendrerit, quis vulputate felis porttitor. Maecenas nunc dui, lobortis vitae velit eget, finibus faucibus ligula. Donec posuere, enim et mattis dapibus, sapien diam facilisis velit, ac rhoncus ipsum ante in arcu. Aliquam imperdiet sodales metus vitae suscipit. Maecenas malesuada est quis condimentum porttitor. Vestibulum dignissim, turpis sed ultrices dignissim, ipsum enim lobortis mauris, ut porta tortor enim ut dui.","In vitae efficitur augue. Nunc nibh odio, dapibus venenatis rhoncus eu, aliquet et nibh. Aenean ornare condimentum nulla vel posuere. Sed pretium mollis lorem, a imperdiet orci aliquet non. Fusce sed tristique nulla. Praesent eu sem faucibus, euismod enim id, rhoncus sapien. Sed eu urna sollicitudin, mollis ante cursus, dignissim erat. Sed eu nulla eu dui sagittis sodales in vel sapien. Fusce tincidunt, erat sit amet tristique varius, nulla felis dapibus tellus, id efficitur ex nibh at orci. In varius varius tempor. Aliquam erat volutpat.",2023-11-13,30,projImg1
2,GAN,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Morbi eu sapien mi. Duis a risus lacus.","Suspendisse id molestie sapien. Mauris quis dictum magna. Fusce vitae elit turpis. Etiam posuere turpis in quam tempor, elementum dapibus dui lacinia. Nam tempor mauris nec odio hendrerit, quis vulputate felis porttitor. Maecenas nunc dui, lobortis vitae velit eget, finibus faucibus ligula. Donec posuere, enim et mattis dapibus, sapien diam facilisis velit, ac rhoncus ipsum ante in arcu. Aliquam imperdiet sodales metus vitae suscipit. Maecenas malesuada est quis condimentum porttitor. Vestibulum dignissim, turpis sed ultrices dignissim, ipsum enim lobortis mauris, ut porta tortor enim ut dui.","In vitae efficitur augue. Nunc nibh odio, dapibus venenatis rhoncus eu, aliquet et nibh. Aenean ornare condimentum nulla vel posuere. Sed pretium mollis lorem, a imperdiet orci aliquet non. Fusce sed tristique nulla. Praesent eu sem faucibus, euismod enim id, rhoncus sapien. Sed eu urna sollicitudin, mollis ante cursus, dignissim erat. Sed eu nulla eu dui sagittis sodales in vel sapien. Fusce tincidunt, erat sit amet tristique varius, nulla felis dapibus tellus, id efficitur ex nibh at orci. In varius varius tempor. Aliquam erat volutpat.",2023-11-14,23,projImg2
3,CNN,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Morbi eu sapien mi. Duis a risus lacus.","Suspendisse id molestie sapien. Mauris quis dictum magna. Fusce vitae elit turpis. Etiam posuere turpis in quam tempor, elementum dapibus dui lacinia. Nam tempor mauris nec odio hendrerit, quis vulputate felis porttitor. Maecenas nunc dui, lobortis vitae velit eget, finibus faucibus ligula. Donec posuere, enim et mattis dapibus, sapien diam facilisis velit, ac rhoncus ipsum ante in arcu. Aliquam imperdiet sodales metus vitae suscipit. Maecenas malesuada est quis condimentum porttitor. Vestibulum dignissim, turpis sed ultrices dignissim, ipsum enim lobortis mauris, ut porta tortor enim ut dui.","In vitae efficitur augue. Nunc nibh odio, dapibus venenatis rhoncus eu, aliquet et nibh. Aenean ornare condimentum nulla vel posuere. Sed pretium mollis lorem, a imperdiet orci aliquet non. Fusce sed tristique nulla. Praesent eu sem faucibus, euismod enim id, rhoncus sapien. Sed eu urna sollicitudin, mollis ante cursus, dignissim erat. Sed eu nulla eu dui sagittis sodales in vel sapien. Fusce tincidunt, erat sit amet tristique varius, nulla felis dapibus tellus, id efficitur ex nibh at orci. In varius varius tempor. Aliquam erat volutpat.",2023-11-15,43,projImg3
4,PyTorch,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Morbi eu sapien mi. Duis a risus lacus.","Suspendisse id molestie sapien. Mauris quis dictum magna. Fusce vitae elit turpis. Etiam posuere turpis in quam tempor, elementum dapibus dui lacinia. Nam tempor mauris nec odio hendrerit, quis vulputate felis porttitor. Maecenas nunc dui, lobortis vitae velit eget, finibus faucibus ligula. Donec posuere, enim et mattis dapibus, sapien diam facilisis velit, ac rhoncus ipsum ante in arcu. Aliquam imperdiet sodales metus vitae suscipit. Maecenas malesuada est quis condimentum porttitor. Vestibulum dignissim, turpis sed ultrices dignissim, ipsum enim lobortis mauris, ut porta tortor enim ut dui.","In vitae efficitur augue. Nunc nibh odio, dapibus venenatis rhoncus eu, aliquet et nibh. Aenean ornare condimentum nulla vel posuere. Sed pretium mollis lorem, a imperdiet orci aliquet non. Fusce sed tristique nulla. Praesent eu sem faucibus, euismod enim id, rhoncus sapien. Sed eu urna sollicitudin, mollis ante cursus, dignissim erat. Sed eu nulla eu dui sagittis sodales in vel sapien. Fusce tincidunt, erat sit amet tristique varius, nulla felis dapibus tellus, id efficitur ex nibh at orci. In varius varius tempor. Aliquam erat volutpat.",2023-11-16,55,projImg2
5,SciPy,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Morbi eu sapien mi. Duis a risus lacus.","Suspendisse id molestie sapien. Mauris quis dictum magna. Fusce vitae elit turpis. Etiam posuere turpis in quam tempor, elementum dapibus dui lacinia. Nam tempor mauris nec odio hendrerit, quis vulputate felis porttitor. Maecenas nunc dui, lobortis vitae velit eget, finibus faucibus ligula. Donec posuere, enim et mattis dapibus, sapien diam facilisis velit, ac rhoncus ipsum ante in arcu. Aliquam imperdiet sodales metus vitae suscipit. Maecenas malesuada est quis condimentum porttitor. Vestibulum dignissim, turpis sed ultrices dignissim, ipsum enim lobortis mauris, ut porta tortor enim ut dui.","In vitae efficitur augue. Nunc nibh odio, dapibus venenatis rhoncus eu, aliquet et nibh. Aenean ornare condimentum nulla vel posuere. Sed pretium mollis lorem, a imperdiet orci aliquet non. Fusce sed tristique nulla. Praesent eu sem faucibus, euismod enim id, rhoncus sapien. Sed eu urna sollicitudin, mollis ante cursus, dignissim erat. Sed eu nulla eu dui sagittis sodales in vel sapien. Fusce tincidunt, erat sit amet tristique varius, nulla felis dapibus tellus, id efficitur ex nibh at orci. In varius varius tempor. Aliquam erat volutpat.",2023-11-17,23,projImg1
6,NLP,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Morbi eu sapien mi. Duis a risus lacus.","Suspendisse id molestie sapien. Mauris quis dictum magna. Fusce vitae elit turpis. Etiam posuere turpis in quam tempor, elementum dapibus dui lacinia. Nam tempor mauris nec odio hendrerit, quis vulputate felis porttitor. Maecenas nunc dui, lobortis vitae velit eget, finibus faucibus ligula. Donec posuere, enim et mattis dapibus, sapien diam facilisis velit, ac rhoncus ipsum ante in arcu. Aliquam imperdiet sodales metus vitae suscipit. Maecenas malesuada est quis condimentum porttitor. Vestibulum dignissim, turpis sed ultrices dignissim, ipsum enim lobortis mauris, ut porta tortor enim ut dui.","In vitae efficitur augue. Nunc nibh odio, dapibus venenatis rhoncus eu, aliquet et nibh. Aenean ornare condimentum nulla vel posuere. Sed pretium mollis lorem, a imperdiet orci aliquet non. Fusce sed tristique nulla. Praesent eu sem faucibus, euismod enim id, rhoncus sapien. Sed eu urna sollicitudin, mollis ante cursus, dignissim erat. Sed eu nulla eu dui sagittis sodales in vel sapien. Fusce tincidunt, erat sit amet tristique varius, nulla felis dapibus tellus, id efficitur ex nibh at orci. In varius varius tempor. Aliquam erat volutpat.",2023-11-18,42,projImg2
7,MERN,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Morbi eu sapien mi. Duis a risus lacus.","Suspendisse id molestie sapien. Mauris quis dictum magna. Fusce vitae elit turpis. Etiam posuere turpis in quam tempor, elementum dapibus dui lacinia. Nam tempor mauris nec odio hendrerit, quis vulputate felis porttitor. Maecenas nunc dui, lobortis vitae velit eget, finibus faucibus ligula. Donec posuere, enim et mattis dapibus, sapien diam facilisis velit, ac rhoncus ipsum ante in arcu. Aliquam imperdiet sodales metus vitae suscipit. Maecenas malesuada est quis condimentum porttitor. Vestibulum dignissim, turpis sed ultrices dignissim, ipsum enim lobortis mauris, ut porta tortor enim ut dui.","In vitae efficitur augue. Nunc nibh odio, dapibus venenatis rhoncus eu, aliquet et nibh. Aenean ornare condimentum nulla vel posuere. Sed pretium mollis lorem, a imperdiet orci aliquet non. Fusce sed tristique nulla. Praesent eu sem faucibus, euismod enim id, rhoncus sapien. Sed eu urna sollicitudin, mollis ante cursus, dignissim erat. Sed eu nulla eu dui sagittis sodales in vel sapien. Fusce tincidunt, erat sit amet tristique varius, nulla felis dapibus tellus, id efficitur ex nibh at orci. In varius varius tempor. Aliquam erat volutpat.",2023-11-19,55,projImg2
8,Node.js,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Morbi eu sapien mi. Duis a risus lacus.","Suspendisse id molestie sapien. Mauris quis dictum magna. Fusce vitae elit turpis. Etiam posuere turpis in quam tempor, elementum dapibus dui lacinia. Nam tempor mauris nec odio hendrerit, quis vulputate felis porttitor. Maecenas nunc dui, lobortis vitae velit eget, finibus faucibus ligula. Donec posuere, enim et mattis dapibus, sapien diam facilisis velit, ac rhoncus ipsum ante in arcu. Aliquam imperdiet sodales metus vitae suscipit. Maecenas malesuada est quis condimentum porttitor. Vestibulum dignissim, turpis sed ultrices dignissim, ipsum enim lobortis mauris, ut porta tortor enim ut dui.","In vitae efficitur augue. Nunc nibh odio, dapibus venenatis rhoncus eu, aliquet et nibh. Aenean ornare condimentum nulla vel posuere. Sed pretium mollis lorem, a imperdiet orci aliquet non. Fusce sed tristique nulla. Praesent eu sem faucibus, euismod enim id, rhoncus sapien. Sed eu urna sollicitudin, mollis ante cursus, dignissim erat. Sed eu nulla eu dui sagittis sodales in vel sapien. Fusce tincidunt, erat sit amet tristique varius, nulla felis dapibus tellus, id efficitur ex nibh at orci. In varius varius tempor. Aliquam erat volutpat.",2023-11-20,42,projImg1
9,Flutter,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Morbi eu sapien mi. Duis a risus lacus.","Suspendisse id molestie sapien. Mauris quis dictum magna. Fusce vitae elit turpis. Etiam posuere turpis in quam tempor, elementum dapibus dui lacinia. Nam tempor mauris nec odio hendrerit, quis vulputate felis porttitor. Maecenas nunc dui, lobortis vitae velit eget, finibus faucibus ligula. Donec posuere, enim et mattis dapibus, sapien diam facilisis velit, ac rhoncus ipsum ante in arcu. Aliquam imperdiet sodales metus vitae suscipit. Maecenas malesuada est quis condimentum porttitor. Vestibulum dignissim, turpis sed ultrices dignissim, ipsum enim lobortis mauris, ut porta tortor enim ut dui.","In vitae efficitur augue. Nunc nibh odio, dapibus venenatis rhoncus eu, aliquet et nibh. Aenean ornare condimentum nulla vel posuere. Sed pretium mollis lorem, a imperdiet orci aliquet non. Fusce sed tristique nulla. Praesent eu sem faucibus, euismod enim id, rhoncus sapien. Sed eu urna sollicitudin, mollis ante cursus, dignissim erat. Sed eu nulla eu dui sagittis sodales in vel sapien. Fusce tincidunt, erat sit amet tristique varius, nulla felis dapibus tellus, id efficitur ex nibh at orci. In varius varius tempor. Aliquam erat volutpat.",2023-11-21,33,projImg2
10,Transformers ,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Morbi eu sapien mi. Duis a risus lacus.","Suspendisse id molestie sapien. Mauris quis dictum magna. Fusce vitae elit turpis. Etiam posuere turpis in quam tempor, elementum dapibus dui lacinia. Nam tempor mauris nec odio hendrerit, quis vulputate felis porttitor. Maecenas nunc dui, lobortis vitae velit eget, finibus faucibus ligula. Donec posuere, enim et mattis dapibus, sapien diam facilisis velit, ac rhoncus ipsum ante in arcu. Aliquam imperdiet sodales metus vitae suscipit. Maecenas malesuada est quis condimentum porttitor. Vestibulum dignissim, turpis sed ultrices dignissim, ipsum enim lobortis mauris, ut porta tortor enim ut dui.","In vitae efficitur augue. Nunc nibh odio, dapibus venenatis rhoncus eu, aliquet et nibh. Aenean ornare condimentum nulla vel posuere. Sed pretium mollis lorem, a imperdiet orci aliquet non. Fusce sed tristique nulla. Praesent eu sem faucibus, euismod enim id, rhoncus sapien. Sed eu urna sollicitudin, mollis ante cursus, dignissim erat. Sed eu nulla eu dui sagittis sodales in vel sapien. Fusce tincidunt, erat sit amet tristique varius, nulla felis dapibus tellus, id efficitur ex nibh at orci. In varius varius tempor. Aliquam erat volutpat.",2023-11-22,45,projImg1
11,Computer Vision,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Morbi eu sapien mi. Duis a risus lacus.","Suspendisse id molestie sapien. Mauris quis dictum magna. Fusce vitae elit turpis. Etiam posuere turpis in quam tempor, elementum dapibus dui lacinia. Nam tempor mauris nec odio hendrerit, quis vulputate felis porttitor. Maecenas nunc dui, lobortis vitae velit eget, finibus faucibus ligula. Donec posuere, enim et mattis dapibus, sapien diam facilisis velit, ac rhoncus ipsum ante in arcu. Aliquam imperdiet sodales metus vitae suscipit. Maecenas malesuada est quis condimentum porttitor. Vestibulum dignissim, turpis sed ultrices dignissim, ipsum enim lobortis mauris, ut porta tortor enim ut dui.","In vitae efficitur augue. Nunc nibh odio, dapibus venenatis rhoncus eu, aliquet et nibh. Aenean ornare condimentum nulla vel posuere. Sed pretium mollis lorem, a imperdiet orci aliquet non. Fusce sed tristique nulla. Praesent eu sem faucibus, euismod enim id, rhoncus sapien. Sed eu urna sollicitudin, mollis ante cursus, dignissim erat. Sed eu nulla eu dui sagittis sodales in vel sapien. Fusce tincidunt, erat sit amet tristique varius, nulla felis dapibus tellus, id efficitur ex nibh at orci. In varius varius tempor. Aliquam erat volutpat.",2023-11-23,234,projImg3